Component Report
D:/boards/518081/518081.brd
Wed Jul 20 09:49:15 2016
Total Components:  196
REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_PACKAGE,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
C1,CAP NP_C402-25_100PF,,,C402-25,1120.00,1695.00,270.000,NO
C2,CAP NP_C402-25_220PF,,,C402-25,1115.00,1100.00,270.000,NO
C3,CAP NP_3_C402-25_15PF,,,C402-25,2030.00,1020.00,0.000,NO
C4,CAP P_0_C1206-40X70_22UF,,,C1206-40X70,2505.00,930.00,180.000,NO
C5,CAP NP_1_C402-25_0.1UF,,,C402-25,2440.00,865.00,180.000,NO
C6,CAP P_0_C1206-40X70_22UF,,,C1206-40X70,2255.00,900.00,180.000,NO
C7,CAP NP_3_C402-25_15PF,,,C402-25,2030.00,810.00,180.000,NO
C8,CAP NP_C402-25_1NF,,,C402-25,2290.00,825.00,180.000,NO
C9,CAP NP_1_C402-25_0.1UF,,,C402-25,2290.00,780.00,180.000,NO
C10,CAP NP_C402-25_0.1UF,,,C402-25,1830.00,750.00,270.000,YES
C11,CAP NP_C402-25_0.1UF,,,C402-25,1045.00,1935.00,0.000,YES
C12,CAP NP_C603-35X45_1UF,,,C603-35X45,1100.00,1875.00,180.000,YES
C13,CAP NP_0_C402-25_0.1UF,,,C402-25,580.00,1875.00,0.000,YES
C14,CAP NP_C603-35X45_1UF,,,C603-35X45,580.00,1825.00,0.000,YES
C15,CAP NP_C603-35X45_1UF,,,C603-35X45,1100.00,1815.00,0.000,YES
C16,CAP NP_C402-25_0.1UF,,,C402-25,1205.00,1795.00,180.000,YES
C17,CAP NP_C402-25_0.1UF,,,C402-25,1075.00,1765.00,180.000,YES
C18,CAP NP_C402-25_10NF,,,C402-25,1205.00,1755.00,180.000,YES
C19,CAP NP_C402-25_0.1UF,,,C402-25,2550.00,1300.00,180.000,YES
C20,CAP NP_0_C402-25_0.1UF,,,C402-25,880.00,1725.00,180.000,YES
C21,CAP NP_C402-25_0.1UF,,,C402-25,1205.00,1715.00,180.000,YES
C22,CAP NP_C603-35X45_10UF,,,C603-35X45,1875.00,1700.00,270.000,YES
C23,CAP NP_C402-25_0.1UF,,,C402-25,1380.00,1700.00,270.000,YES
C24,CAP NP_C402-25_10NF,,,C402-25,1330.00,1700.00,270.000,YES
C25,CAP NP_C402-25_1NF,,,C402-25,1280.00,1700.00,270.000,YES
C26,CAP NP_C603-35X45_10UF,,,C603-35X45,1085.00,1695.00,0.000,YES
C27,CAP NP_C402-25_220PF,,,C402-25,2150.00,1675.00,270.000,YES
